generation,best_fitness,mean_parent_fitness,success_rate,sigma,cma_mean_style,cma_mean_log_sigma,cma_cov_00,cma_cov_01,cma_cov_11,best_asv,best_mr,best_behavioral_deviation,best_mr_component,best_fluency,best_diversity,best_length_penalty,best_repetition_penalty,best_api_error,filter_attempted,filter_changed,filter_length,filter_old_attack_refusal_rate,filter_new_attack_refusal_rate,filter_old_benign_refusal_rate,filter_new_benign_refusal_rate
1.0,0.48146035522222513,0.46194396110044583,0.6,2.228271617611515,-0.13213705114026159,0.7857259116523835,0.033652476881611645,-0.021327277505716582,0.045506332366806325,0.6068680137395859,0.8111575146516165,0.18884248534838355,0.18884248534838355,1.0,0.0,0.0,0.11475409836065575,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0
2.0,0.4742121448119481,0.476570741004414,0.4,2.9882132215486443,-0.39242914569267096,1.0738572442728254,0.006861008452785502,0.004220246442826793,0.06599776684829556,0.6101026137669882,0.8428656160831451,0.15713438391685486,0.15713438391685486,1.0,0.0,0.0,0.1311475409836066,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0
3.0,0.4742121448119481,0.49233501644598104,0.4,2.7320177778916785,-0.40291004474299136,0.9960064052444654,0.0005693629096330398,0.001927611491368449,0.02799952675618272,0.6101026137669882,0.8428656160831451,0.15713438391685486,0.15713438391685486,1.0,0.0,0.0,0.1311475409836066,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0
4.0,0.4742121448119481,0.4825985502865579,0.1,2.883850641260415,-0.38718364914427655,1.0467932321919964,0.0005649010331247934,0.002654819501092639,0.037650276100288566,0.6101026137669882,0.8428656160831451,0.15713438391685486,0.15713438391685486,1.0,0.0,0.0,0.1311475409836066,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0
5.0,0.4742121448119481,0.4892493755453162,0.4,2.8426724631554308,-0.3899473444142538,1.03684831635794,0.0010486475544108484,0.0005670671783424618,0.023864999808294395,0.6101026137669882,0.8428656160831451,0.15713438391685486,0.15713438391685486,1.0,0.0,0.0,0.1311475409836066,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0
6.0,0.48374980390071864,0.4898134390513102,0.1,2.7466789737487916,-0.4148148097443369,1.0053133759926058,0.0013437624321500517,0.002721573939817459,0.015434939586644613,0.614674337208271,0.8217407738169035,0.17825922618309653,0.17825922618309653,1.0,0.0,0.126,0.2954545454545454,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0
7.0,0.48374980390071864,0.4915300683014922,0.1,2.8167224909275794,-0.3978026248707382,1.0190017108541294,0.004063228053836817,0.010142212650765132,0.0484437455232356,0.614674337208271,0.8217407738169035,0.17825922618309653,0.17825922618309653,1.0,0.0,0.126,0.2954545454545454,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0
8.0,0.48374980390071864,0.46607727118664316,0.5,2.6959391808146442,-0.47181386132977526,0.987388256126937,0.0013264241069453763,0.003560722302442919,0.012813340981558133,0.614674337208271,0.8217407738169035,0.17825922618309653,0.17825922618309653,1.0,0.0,0.126,0.2954545454545454,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0
9.0,0.48374980390071864,0.4617525310979949,0.3,2.5382370823069738,-0.4768944992585879,0.9298298036785217,0.0011518225522290542,0.0015083715097117141,0.004935870489552036,0.614674337208271,0.8217407738169035,0.17825922618309653,0.17825922618309653,1.0,0.0,0.126,0.2954545454545454,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0
10.0,0.48374980390071864,0.49094997942447655,0.3,2.359358417526586,-0.509443567466029,0.8533492500400669,0.0005959805523949568,0.0025542911844459535,0.014832707546472727,0.614674337208271,0.8217407738169035,0.17825922618309653,0.17825922618309653,1.0,0.0,0.126,0.2954545454545454,0.0,0.0,0.0,144.0,0.0,0.0,0.0,0.0
