condition,filter_mode,metric,n,mean,ci95_low,ci95_high,cohens_d_vs_A
A,fixed_filter,best_fitness,5,0.17388628048780486,0.11346678496014487,0.23430577601546485,0.0
A,fixed_filter,best_attack_objective,5,0.1,0.1,0.1,0.0
A,fixed_filter,best_compliance,5,0.1,0.1,0.1,0.0
A,fixed_filter,best_similarity,5,0.0,0.0,0.0,0.0
A,fixed_filter,best_mr,5,0.36133333333333334,0.1718824374379706,0.5507842292286961,0.0
A,fixed_filter,best_diversity,5,0.9243488833799238,0.9055319102490073,0.9431658565108404,0.0
A,fixed_filter,best_prompt_length,5,191.6,134.76473123139118,248.4352687686088,0.0
B,fixed_filter,best_fitness,5,0.2917062020402636,0.1487693752435052,0.434643028837022,0.9411600032266624
B,fixed_filter,best_attack_objective,5,0.1,0.1,0.1,0.0
B,fixed_filter,best_compliance,5,0.1,0.1,0.1,0.0
B,fixed_filter,best_similarity,5,0.0,0.0,0.0,0.0
B,fixed_filter,best_mr,5,0.0,0.0,0.0,-2.364271957700677
B,fixed_filter,best_diversity,5,0.9077308295176799,0.8633206508437241,0.9521410081916357,-0.42709983802599305
B,fixed_filter,best_prompt_length,5,354.8,310.63080095813376,398.96919904186626,2.81055747776217
C,fixed_filter,best_fitness,5,0.17388628048780486,0.11346678496014487,0.23430577601546485,0.0
C,fixed_filter,best_attack_objective,5,0.1,0.1,0.1,0.0
C,fixed_filter,best_compliance,5,0.1,0.1,0.1,0.0
C,fixed_filter,best_similarity,5,0.0,0.0,0.0,0.0
C,fixed_filter,best_mr,5,0.36133333333333334,0.1718824374379706,0.5507842292286961,0.0
C,fixed_filter,best_diversity,5,0.9243488833799238,0.9055319102490073,0.9431658565108404,0.0
C,fixed_filter,best_prompt_length,5,191.6,134.76473123139118,248.4352687686088,0.0
D,fixed_filter,best_fitness,5,0.17388628048780486,0.11346678496014487,0.23430577601546485,0.0
D,fixed_filter,best_attack_objective,5,0.1,0.1,0.1,0.0
D,fixed_filter,best_compliance,5,0.1,0.1,0.1,0.0
D,fixed_filter,best_similarity,5,0.0,0.0,0.0,0.0
D,fixed_filter,best_mr,5,0.36133333333333334,0.1718824374379706,0.5507842292286961,0.0
D,fixed_filter,best_diversity,5,0.9243488833799238,0.9055319102490073,0.9431658565108404,0.0
D,fixed_filter,best_prompt_length,5,191.6,134.76473123139118,248.4352687686088,0.0
E,coevolution,best_fitness,5,0.17388628048780486,0.11346678496014487,0.23430577601546485,0.0
E,coevolution,best_attack_objective,5,0.1,0.1,0.1,0.0
E,coevolution,best_compliance,5,0.1,0.1,0.1,0.0
E,coevolution,best_similarity,5,0.0,0.0,0.0,0.0
E,coevolution,best_mr,5,0.36133333333333334,0.1718824374379706,0.5507842292286961,0.0
E,coevolution,best_diversity,5,0.9243488833799238,0.9055319102490073,0.9431658565108404,0.0
E,coevolution,best_prompt_length,5,191.6,134.76473123139118,248.4352687686088,0.0
F,coevolution,best_fitness,5,0.2917062020402636,0.1487693752435052,0.434643028837022,0.9411600032266624
F,coevolution,best_attack_objective,5,0.1,0.1,0.1,0.0
F,coevolution,best_compliance,5,0.1,0.1,0.1,0.0
F,coevolution,best_similarity,5,0.0,0.0,0.0,0.0
F,coevolution,best_mr,5,0.0,0.0,0.0,-2.364271957700677
F,coevolution,best_diversity,5,0.9077308295176799,0.8633206508437241,0.9521410081916357,-0.42709983802599305
F,coevolution,best_prompt_length,5,354.8,310.63080095813376,398.96919904186626,2.81055747776217
G,fixed_filter,best_fitness,5,0.17388628048780486,0.11346678496014487,0.23430577601546485,0.0
G,fixed_filter,best_attack_objective,5,0.1,0.1,0.1,0.0
G,fixed_filter,best_compliance,5,0.1,0.1,0.1,0.0
G,fixed_filter,best_similarity,5,0.0,0.0,0.0,0.0
G,fixed_filter,best_mr,5,0.36133333333333334,0.1718824374379706,0.5507842292286961,0.0
G,fixed_filter,best_diversity,5,0.9243488833799238,0.9055319102490073,0.9431658565108404,0.0
G,fixed_filter,best_prompt_length,5,191.6,134.76473123139118,248.4352687686088,0.0
