condition,filter_mode,metric,n,mean,ci95_low,ci95_high,cohens_d_vs_A
A,fixed_filter,best_fitness,2,0.13959374999999996,0.12274999999999997,0.15643749999999995,0.0
A,fixed_filter,best_attack_objective,2,0.1,0.1,0.1,0.0
A,fixed_filter,best_compliance,2,0.1,0.1,0.1,0.0
A,fixed_filter,best_similarity,2,0.0,0.0,0.0,0.0
A,fixed_filter,best_mr,2,0.2533333333333333,0.188,0.3186666666666666,0.0
A,fixed_filter,best_diversity,2,0.9308941119246268,0.911189595307278,0.9505986285419755,0.0
A,fixed_filter,best_prompt_length,2,224.0,204.4,243.6,0.0
B,fixed_filter,best_fitness,2,0.3641698113207547,0.36383698113207547,0.36450264150943396,26.12738688576345
B,fixed_filter,best_attack_objective,2,0.1,0.1,0.1,0.0
B,fixed_filter,best_compliance,2,0.1,0.1,0.1,0.0
B,fixed_filter,best_similarity,2,0.0,0.0,0.0,0.0
B,fixed_filter,best_mr,2,0.0,0.0,0.0,-7.6000000000000005
B,fixed_filter,best_diversity,2,0.932255116846864,0.9302565330484559,0.9342537006452721,0.13468755686209793
B,fixed_filter,best_prompt_length,2,363.5,325.28000000000003,401.71999999999997,6.365617233968041
C,fixed_filter,best_fitness,2,0.13959374999999996,0.12274999999999997,0.15643749999999995,0.0
C,fixed_filter,best_attack_objective,2,0.1,0.1,0.1,0.0
C,fixed_filter,best_compliance,2,0.1,0.1,0.1,0.0
C,fixed_filter,best_similarity,2,0.0,0.0,0.0,0.0
C,fixed_filter,best_mr,2,0.2533333333333333,0.188,0.3186666666666666,0.0
C,fixed_filter,best_diversity,2,0.9308941119246268,0.911189595307278,0.9505986285419755,0.0
C,fixed_filter,best_prompt_length,2,224.0,204.4,243.6,0.0
D,fixed_filter,best_fitness,2,0.13959374999999996,0.12274999999999997,0.15643749999999995,0.0
D,fixed_filter,best_attack_objective,2,0.1,0.1,0.1,0.0
D,fixed_filter,best_compliance,2,0.1,0.1,0.1,0.0
D,fixed_filter,best_similarity,2,0.0,0.0,0.0,0.0
D,fixed_filter,best_mr,2,0.2533333333333333,0.188,0.3186666666666666,0.0
D,fixed_filter,best_diversity,2,0.9308941119246268,0.911189595307278,0.9505986285419755,0.0
D,fixed_filter,best_prompt_length,2,224.0,204.4,243.6,0.0
E,coevolution,best_fitness,2,0.13959374999999996,0.12274999999999997,0.15643749999999995,0.0
E,coevolution,best_attack_objective,2,0.1,0.1,0.1,0.0
E,coevolution,best_compliance,2,0.1,0.1,0.1,0.0
E,coevolution,best_similarity,2,0.0,0.0,0.0,0.0
E,coevolution,best_mr,2,0.2533333333333333,0.188,0.3186666666666666,0.0
E,coevolution,best_diversity,2,0.9308941119246268,0.911189595307278,0.9505986285419755,0.0
E,coevolution,best_prompt_length,2,224.0,204.4,243.6,0.0
F,coevolution,best_fitness,2,0.3641698113207547,0.36383698113207547,0.36450264150943396,26.12738688576345
F,coevolution,best_attack_objective,2,0.1,0.1,0.1,0.0
F,coevolution,best_compliance,2,0.1,0.1,0.1,0.0
F,coevolution,best_similarity,2,0.0,0.0,0.0,0.0
F,coevolution,best_mr,2,0.0,0.0,0.0,-7.6000000000000005
F,coevolution,best_diversity,2,0.932255116846864,0.9302565330484559,0.9342537006452721,0.13468755686209793
F,coevolution,best_prompt_length,2,363.5,325.28000000000003,401.71999999999997,6.365617233968041
G,fixed_filter,best_fitness,2,0.13959374999999996,0.12274999999999997,0.15643749999999995,0.0
G,fixed_filter,best_attack_objective,2,0.1,0.1,0.1,0.0
G,fixed_filter,best_compliance,2,0.1,0.1,0.1,0.0
G,fixed_filter,best_similarity,2,0.0,0.0,0.0,0.0
G,fixed_filter,best_mr,2,0.2533333333333333,0.188,0.3186666666666666,0.0
G,fixed_filter,best_diversity,2,0.9308941119246268,0.911189595307278,0.9505986285419755,0.0
G,fixed_filter,best_prompt_length,2,224.0,204.4,243.6,0.0
